"No.","Time","Source","Destination","Protocol","Info"
"1385","42.962728","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=26790 Ack=4440 Win=17536 Len=1348 TSV=281407585 TSER=2118061"
"1386","42.962740","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=4440 Ack=28138 Win=64128 Len=0 TSV=2118099 TSER=281407585"
"1387","42.962846","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [PSH, ACK] Seq=28138 Ack=4440 Win=17536 Len=1348 TSV=281407586 TSER=2118061"
"1388","42.962856","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=4440 Ack=29486 Win=64128 Len=0 TSV=2118099 TSER=281407586"
"1421","44.141672","93.182.152.117","130.126.143.48","TCP","[TCP Retransmission] 9003 > 52266 [ACK] Seq=25442 Ack=4440 Win=17536 Len=1348 TSV=281407881 TSER=2118061"
"1422","44.141699","130.126.143.48","93.182.152.117","TCP","[TCP Dup ACK 1388#1] 52266 > 9003 [ACK] Seq=4440 Ack=29486 Win=64128 Len=0 TSV=2118394 TSER=281407586 SLE=25442 SRE=26790"
"1427","44.294818","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=29486 Ack=4440 Win=17536 Len=1348 TSV=281407919 TSER=2118394"
"1428","44.294831","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=4440 Ack=30834 Win=64128 Len=0 TSV=2118432 TSER=281407919"
"1429","44.294968","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=30834 Ack=4440 Win=17536 Len=1348 TSV=281407919 TSER=2118394"
"1430","44.294978","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=4440 Ack=32182 Win=62848 Len=0 TSV=2118432 TSER=281407919"
"1435","44.447687","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=32182 Ack=4440 Win=17536 Len=1348 TSV=281407957 TSER=2118432"
"1436","44.447718","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=4440 Ack=33530 Win=64128 Len=0 TSV=2118471 TSER=281407957"
"1437","44.447802","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=33530 Ack=4440 Win=17536 Len=1348 TSV=281407957 TSER=2118432"
"1438","44.447812","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=4440 Ack=34878 Win=64128 Len=0 TSV=2118471 TSER=281407957"
"1439","44.448100","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [PSH, ACK] Seq=4440 Ack=34878 Win=64128 [TCP CHECKSUM INCORRECT] Len=586 TSV=2118471 TSER=281407957"
"1440","44.448785","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [PSH, ACK] Seq=34878 Ack=4440 Win=17536 Len=1348 TSV=281407957 TSER=2118432"
"1449","44.487186","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=5026 Ack=36226 Win=64128 Len=0 TSV=2118481 TSER=281407957"
