"No.","Time","Source","Destination","Protocol","Info"
"1","0.000000","65422.241","0.255","NBP","Op: lookup  Count: 1"
"33","1.000104","65422.241","0.255","NBP","Op: lookup  Count: 1"
"39","1.337325","fe80::d152:44fa:876e:faac","ff02::16","ICMPv6","Multicast Listener Report Message v2"
"42","1.373684","fe80::d152:44fa:876e:faac","ff02::16","ICMPv6","Multicast Listener Report Message v2"
"52","1.682234","fe80::d152:44fa:876e:faac","ff02::16","ICMPv6","Multicast Listener Report Message v2"
"64","2.092310","fe80::d152:44fa:876e:faac","ff02::16","ICMPv6","Multicast Listener Report Message v2"
"65","2.135687","fe80::d152:44fa:876e:faac","ff02::16","ICMPv6","Multicast Listener Report Message v2"
"68","2.182431","fe80::d152:44fa:876e:faac","ff02::16","ICMPv6","Multicast Listener Report Message v2"
"88","2.795376","65422.241","0.255","NBP","Op: lookup  Count: 1"
"94","2.982863","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"95","3.043620","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=1 Ack=587 Win=501 Len=0 TSV=329482889 TSER=2108104"
"110","3.795499","65422.241","0.255","NBP","Op: lookup  Count: 1"
"284","10.818743","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"285","10.818790","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=587 Ack=587 Win=598 Len=0 TSV=2110063 TSER=329484832"
"286","10.819206","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"291","10.879670","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=587 Ack=1173 Win=501 Len=0 TSV=329484848 TSER=2110064"
"292","10.879712","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"296","10.939823","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=587 Ack=1759 Win=497 Len=0 TSV=329484863 TSER=2110079"
"336","12.749735","HewlettP_03:f4:c8","LLDP_Multicast","LLDP","Chassis Id = 00:0e:7f:03:f4:00 Port Id = 56 TTL = 120 "
"368","13.915378","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"369","13.928966","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"370","13.989246","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=1173 Ack=2345 Win=501 Len=0 TSV=329485625 TSER=2110841"
"395","14.711073","fe80::d152:44fa:876e:faac","ff02::16","ICMPv6","Multicast Listener Report Message v2"
"407","15.181871","fe80::d152:44fa:876e:faac","ff02::16","ICMPv6","Multicast Listener Report Message v2"
"408","15.204171","fe80::d152:44fa:876e:faac","ff02::16","ICMPv6","Multicast Listener Report Message v2"
"411","15.444021","fe80::d152:44fa:876e:faac","ff02::16","ICMPv6","Multicast Listener Report Message v2"
"420","15.682885","::","ff02::1:ff6e:faac","ICMPv6","Neighbor solicitation"
"421","15.683046","fe80::d152:44fa:876e:faac","ff02::2","ICMPv6","Router solicitation"
"422","15.683507","fe80::d152:44fa:876e:faac","ff02::16","ICMPv6","Multicast Listener Report Message v2"
"431","15.840568","fe80::d152:44fa:876e:faac","ff02::16","ICMPv6","Multicast Listener Report Message v2"
"438","16.184251","fe80::d152:44fa:876e:faac","ff02::16","ICMPv6","Multicast Listener Report Message v2"
"535","19.842275","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"536","19.842669","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"538","19.902948","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=1759 Ack=2931 Win=501 Len=0 TSV=329487103 TSER=2112319"
"558","20.853296","65422.241","0.255","NBP","Op: lookup  Count: 1"
"589","21.724666","fe80::2c94:5d3d:9f67:89d3","ff02::16","ICMPv6","Multicast Listener Report Message v2"
"592","21.853399","65422.241","0.255","NBP","Op: lookup  Count: 1"
"594","21.876064","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"595","21.915208","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=2931 Ack=2345 Win=598 Len=0 TSV=2112838 TSER=329487597"
"596","21.975747","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"597","21.975788","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=2931 Ack=2931 Win=598 Len=0 TSV=2112853 TSER=329487622"
"601","22.012919","66.35.1.171","130.126.143.48","TLSv1","Application Data, "
"602","22.012969","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=2931 Ack=4379 Win=598 Len=0 TSV=2112862 TSER=329487631"
"603","22.013107","66.35.1.171","130.126.143.48","TCP","[TCP segment of a reassembled PDU]"
"604","22.013117","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=2931 Ack=5827 Win=598 Len=0 TSV=2112862 TSER=329487631"
"605","22.016506","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"606","22.036929","66.35.1.171","130.126.143.48","TLSv1","Application Data"
"608","22.077415","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=6589 Ack=3517 Win=501 Len=0 TSV=329487647 TSER=2112863"
"609","22.077466","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data, Application Data, Application Data"
"610","22.099715","130.126.143.48","130.126.143.79","TCP","38360 > ldaps [FIN, ACK] Seq=1 Ack=1 Win=131 Len=0 TSV=2112884 TSER=922710"
"611","22.100474","130.126.143.79","130.126.143.48","TLSv1.1","Encrypted Alert"
"612","22.100513","130.126.143.48","130.126.143.79","TCP","38360 > ldaps [RST] Seq=2 Win=0 Len=0"
"613","22.100521","130.126.143.79","130.126.143.48","TCP","ldaps > 38360 [FIN, ACK] Seq=70 Ack=2 Win=79 Len=0 TSV=963742 TSER=2112884"
"614","22.100528","130.126.143.48","130.126.143.79","TCP","38360 > ldaps [RST] Seq=2 Win=0 Len=0"
"615","22.138304","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=6589 Ack=4689 Win=501 Len=0 TSV=329487662 TSER=2112878"
"663","23.909507","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"664","23.909923","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"667","23.970705","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"668","23.970747","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"669","24.031458","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"670","24.079250","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=5861 Ack=8347 Win=598 Len=0 TSV=2113379 TSER=329488136"
"672","24.139732","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"673","24.139770","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=5861 Ack=8933 Win=598 Len=0 TSV=2113394 TSER=329488163"
"733","25.943730","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"734","25.943772","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=5861 Ack=9519 Win=598 Len=0 TSV=2113845 TSER=329488614"
"737","26.004451","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"738","26.004498","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=5861 Ack=10105 Win=598 Len=0 TSV=2113860 TSER=329488629"
"741","26.059795","66.35.1.171","130.126.143.48","TLSv1","Application Data, "
"742","26.059837","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=5861 Ack=11553 Win=598 Len=0 TSV=2113874 TSER=329488642"
"743","26.059984","66.35.1.171","130.126.143.48","TCP","[TCP segment of a reassembled PDU]"
"744","26.059996","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=5861 Ack=13001 Win=588 Len=0 TSV=2113874 TSER=329488642"
"745","26.064977","66.35.1.171","130.126.143.48","TLSv1","Application Data"
"746","26.064987","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=5861 Ack=13251 Win=598 Len=0 TSV=2113875 TSER=329488644"
"747","26.076732","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"749","26.107947","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, [Unreassembled Packet [incorrect TCP checksum]] "
"751","26.168763","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=13251 Ack=7895 Win=492 Len=0 TSV=329488670 TSER=2113878"
"752","26.168814","130.126.143.48","66.35.1.171","TLSv1","Ignored Unknown Record"
"753","26.278950","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=13251 Ack=8205 Win=501 Len=0 TSV=329488698 TSER=2113901"
"808","28.267908","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"811","28.307210","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=8205 Ack=13837 Win=598 Len=0 TSV=2114436 TSER=329489194"
"833","29.000444","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"834","29.000484","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=8205 Ack=14423 Win=598 Len=0 TSV=2114609 TSER=329489378"
"835","29.055168","66.35.1.171","130.126.143.48","TLSv1","Application Data, "
"836","29.055207","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=8205 Ack=15871 Win=598 Len=0 TSV=2114622 TSER=329489391"
"837","29.055509","66.35.1.171","130.126.143.48","TCP","[TCP segment of a reassembled PDU]"
"838","29.055522","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=8205 Ack=17319 Win=598 Len=0 TSV=2114623 TSER=329489391"
"839","29.061199","66.35.1.171","130.126.143.48","TLSv1","Application Data"
"840","29.061211","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=8205 Ack=17569 Win=598 Len=0 TSV=2114624 TSER=329489393"
"841","29.121425","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"842","29.121467","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=8205 Ack=18155 Win=598 Len=0 TSV=2114639 TSER=329489408"
"843","29.155104","66.35.1.171","130.126.143.48","TLSv1","Application Data, "
"844","29.155147","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=8205 Ack=19603 Win=598 Len=0 TSV=2114647 TSER=329489416"
"845","29.155215","66.35.1.171","130.126.143.48","TCP","[TCP segment of a reassembled PDU]"
"846","29.155227","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=8205 Ack=21051 Win=588 Len=0 TSV=2114648 TSER=329489416"
"847","29.182215","66.35.1.171","130.126.143.48","TLSv1","Application Data"
"848","29.182249","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=8205 Ack=21813 Win=598 Len=0 TSV=2114654 TSER=329489423"
"849","29.182608","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"853","29.244558","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"854","29.244589","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=22399 Ack=8791 Win=501 Len=0 TSV=329489438 TSER=2114654"
"855","29.260809","66.35.1.171","130.126.143.48","TLSv1","Application Data, "
"856","29.260848","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=8791 Ack=23847 Win=598 Len=0 TSV=2114674 TSER=329489438"
"857","29.261009","66.35.1.171","130.126.143.48","TCP","[TCP segment of a reassembled PDU]"
"858","29.299205","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=8791 Ack=25295 Win=598 Len=0 TSV=2114684 TSER=329489443"
"859","29.321699","66.35.1.171","130.126.143.48","TLSv1","Application Data"
"860","29.321747","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=8791 Ack=26643 Win=598 Len=0 TSV=2114689 TSER=329489458"
"885","30.017104","66.35.1.171","130.126.143.48","TLSv1","Application Data, "
"886","30.017152","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=8791 Ack=28091 Win=598 Len=0 TSV=2114863 TSER=329489632"
"887","30.017300","66.35.1.171","130.126.143.48","TCP","[TCP segment of a reassembled PDU]"
"888","30.017311","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=8791 Ack=29539 Win=598 Len=0 TSV=2114863 TSER=329489632"
"889","30.017362","66.35.1.171","130.126.143.48","TLSv1","Application Data"
"890","30.017372","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=8791 Ack=30301 Win=598 Len=0 TSV=2114863 TSER=329489632"
"892","30.078265","66.35.1.171","130.126.143.48","TLSv1","Application Data, "
"893","30.078320","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=8791 Ack=31749 Win=598 Len=0 TSV=2114878 TSER=329489647"
"894","30.078452","66.35.1.171","130.126.143.48","TCP","[TCP segment of a reassembled PDU]"
"895","30.078462","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=8791 Ack=33197 Win=598 Len=0 TSV=2114878 TSER=329489647"
"896","30.078688","66.35.1.171","130.126.143.48","TLSv1","Application Data"
"897","30.078698","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=8791 Ack=34545 Win=598 Len=0 TSV=2114878 TSER=329489647"
"900","30.162104","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"901","30.162145","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=8791 Ack=35131 Win=598 Len=0 TSV=2114899 TSER=329489668"
"904","30.222952","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"905","30.222989","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=8791 Ack=36229 Win=598 Len=0 TSV=2114914 TSER=329489683"
"907","30.238870","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"908","30.339328","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=36229 Ack=9377 Win=501 Len=0 TSV=329489713 TSER=2114918"
"909","30.339374","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data, Application Data, Application Data"
"914","30.400039","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=36229 Ack=10549 Win=501 Len=0 TSV=329489728 TSER=2114944"
"991","32.865902","FoundryN_6a:ca:e4","Foundry-DP","LLC","U, func=UI; SNAP, OUI 0x00E052 (Unknown), PID 0x2000"
"1000","33.064913","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"1001","33.065524","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"1002","33.120600","66.35.1.171","130.126.143.48","TLSv1","Application Data, "
"1003","33.120715","66.35.1.171","130.126.143.48","TCP","[TCP segment of a reassembled PDU]"
"1004","33.120744","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=11135 Ack=39711 Win=588 Len=0 TSV=2115639 TSER=329490408"
"1005","33.126590","66.35.1.171","130.126.143.48","TLSv1","Application Data"
"1006","33.126607","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"1008","33.222940","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=40473 Ack=11721 Win=501 Len=0 TSV=329490434 TSER=2115640"
"1035","34.313512","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"1036","34.323377","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"1037","34.325438","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, [Unreassembled Packet [incorrect TCP checksum]] "
"1039","34.383906","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=41059 Ack=12307 Win=501 Len=0 TSV=329490724 TSER=2115940"
"1040","34.383940","130.126.143.48","66.35.1.171","TLSv1","Ignored Unknown Record"
"1041","34.386694","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=41059 Ack=13755 Win=492 Len=0 TSV=329490724 TSER=2115940"
"1048","34.444160","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=41059 Ack=14065 Win=490 Len=0 TSV=329490739 TSER=2115955"
"1084","35.587744","65422.241","0.255","NBP","Op: lookup  Count: 1"
"1100","36.232329","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"1103","36.271196","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=14065 Ack=41645 Win=598 Len=0 TSV=2116427 TSER=329491186"
"1104","36.287933","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 TSV=2116431 TSER=0 WS=7"
"1109","36.444883","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [SYN, ACK] Seq=0 Ack=1 Win=5392 Len=0 MSS=1360 TSV=281405956 TSER=2116431 WS=7"
"1110","36.444935","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=1 Ack=1 Win=5888 Len=0 TSV=2116470 TSER=281405956"
"1111","36.445147","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [PSH, ACK] Seq=1 Ack=1 Win=5888 [TCP CHECKSUM INCORRECT] Len=145 TSV=2116470 TSER=281405956"
"1117","36.587857","65422.241","0.255","NBP","Op: lookup  Count: 1"
"1119","36.601295","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=1 Ack=146 Win=6528 Len=0 TSV=281405995 TSER=2116470"
"1120","36.608578","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [PSH, ACK] Seq=1 Ack=146 Win=6528 Len=922 TSV=281405996 TSER=2116470"
"1121","36.608598","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=146 Ack=923 Win=7808 Len=0 TSV=2116511 TSER=281405996"
"1122","36.613380","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [PSH, ACK] Seq=146 Ack=923 Win=7808 [TCP CHECKSUM INCORRECT] Len=198 TSV=2116512 TSER=281405996"
"1125","36.774342","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [PSH, ACK] Seq=923 Ack=344 Win=7552 Len=266 TSV=281406037 TSER=2116512"
"1126","36.774602","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [PSH, ACK] Seq=344 Ack=1189 Win=9600 [TCP CHECKSUM INCORRECT] Len=309 TSV=2116552 TSER=281406037"
